goods_ID,goods_name,category,price,brand
10000001,Watermelon 1pc,Fresh Food,69.8,None
10000002,Black Grape 1.36kg,Fresh Food,59.8,None
10000003,Mango 4kg,Fresh Food,89,None
10000004,Oranges 4kg,Fresh Food,79.8,None
10000005,Red Seedless Grapes 1.36kg,Fresh Food,59.8,None
10000006,Water Bamboo Shoot 600g,Fresh Food,16.9,None
10000007,White Sweet Corn 1.44kg,Fresh Food,59.8,None
10000008,Blueberry 500g,Fresh Food,39.8,None
10000009,Member's Mark Cherry Tomato 1.25kg,Fresh Food,39.8,Member's Mark
10000010,Banana 1.4kg,Fresh Food,19.9,None
10000011,Gansu Fuji Apple 2kg,Fresh Food,39.8,None
10000012,Member's Mark Premium Firm Tofu 400g*2,Fresh Food,13.9,Member's Mark
10000013,Member's Mark Cucumbers 1kg,Fresh Food,11.8,Member's Mark
10000014,Sweet Potato 2kg,Fresh Food,19.9,None
10000015,Member's Mark Sweet corn 1.5kg,Fresh Food,34.8,Member's Mark
10000016,Member's Mark organic Carrots 800g,Fresh Food,15.8,Member's Mark
10000017,Member's Mark Organic Red Onions 1kg,Fresh Food,18.8,Member's Mark
10000018,Member's Mark Premium Eggs 30pc,Fresh Food,23.8,Member's Mark
10000019,Tyson Chicken Drumsticks Fresh 1.2kg,Fresh Food,34.8,Tyson
10000020,Tyson Chicken Mid-Joints Fresh 1.6kg,Fresh Food,99.8,Tyson
10000021,Tyson Chicken Feet Fresh 1kg,Fresh Food,55.8,Tyson
10000022,Human Chilled Old Hen Cut 900g,Fresh Food,67.8,None
10000023,Australian Brisket Hot Pot Slices 1.1kg,Fresh Food,128,None
10000024,Australian Grain-Fed Beef 950g,Fresh Food,85.5,Member's Mark
10000025,USA Imported Roll Beef 1.5kg,Fresh Food,169.9,None
10000026,Beef Kebabas 1kg(10pc),Fresh Food,168,None
10000027,Australian Lamb Hotpot Slices 1.1kg,Fresh Food,149.9,None
10000028,Member's Mark US Imported Grain-Fed Beef Top Blade Steak 0.9kg,Fresh Food,134.8,Member's Mark
10000029,Hotpot Platter 1.2kg,Fresh Food,169.9,None
10000030,Strip Slices 1.1kg,Fresh Food,168,None
10000031,Pork Belly 1.8kg,Fresh Food,78.5,None
10000032,Pig Bone 1.6kg,Fresh Food,53.4,None
10000033,Plum Pork 1.7kg,Fresh Food,79.9,None
10000034,Boneless Pork Chop 1.4kg,Fresh Food,56.6,None
10000035,Pork Leg 1.1kg,Fresh Food,54.1,None
20000001,Member's Mark Croissant 18pcs,Milk/Bakery,32.8,Member's Mark
20000002,Member's Mark Rice Dumpling Sweet Variety Pack,Milk/Bakery,39.9,Member's Mark
20000003,Member's Mark Rice Dumpling With Ham 100g*6,Milk/Bakery,59.9,Member's Mark
20000004,Member's Mark Quick Cookig Oats,Milk/Bakery,49.9,Member's Mark
20000005,Member's Mark Black Truffle Egg Salad Bread 3pcs,Milk/Bakery,32.8,Member's Mark
20000006,Member's Mark Chocolate Vanilla Puffs 16pcs,Milk/Bakery,79.9,Member's Mark
